Author,SchoolName
uafairbanks,University of Alaska Fairbanks
UofAlabama,The University of Alabama
UArkansas,University of Arkansas at Little Rock
uarizona,University of Arizona Global Campus
UCBerkeley,University of California-Berkeley
UConn,University of Connecticut
CUBoulder,University of Colorado Boulder
UDelaware,University of Delaware
UF,University of Florida
universityofga,University of Georgia
uhmanoa,University of Hawaii at Manoa
uiowa,University of Iowa
uidaho,University of Idaho
UofIllinois,University of Illinois Urbana-Champaign
IndianaUniv,Indiana University-Bloomington
UnivOfKansas,University of Kansas
universityofky,University of Kentucky
LSU,Louisiana State University and Agricultural & Mechanical College
UMassAmherst,University of Massachusetts-Amherst
UofMaryland,University of Maryland Global Campus
UMaine,University of Maine
UMich,University of Michigan-Ann Arbor
UMNews,University of Minnesota-Twin Cities
Mizzou,University of Missouri-Columbia
OleMiss,University of Mississippi
umontana,The University of Montana
UNC,University of North Carolina at Chapel Hill
UofNorthDakota,University of North Dakota
UNLincoln,University of Nebraska-Lincoln
UofNH,University of New Hampshire-Main Campus
RutgersU,Rutgers University-New Brunswick
UNM,University of New Mexico-Main Campus
unevadareno,University of Nevada-Reno
UBuffalo,University at Buffalo
OhioState,Ohio State University-Main Campus
UofOklahoma,University of Oklahoma-Norman Campus
uoregon,University of Oregon
penn_state,The Pennsylvania State University
universityofri,University of Rhode Island
UofSC,University of South Carolina-Columbia
usd,University of South Dakota
UTKnoxville,The University of Tennessee-Knoxville
UTAustin,The University of Texas at Austin
UUtah,University of Utah
UVA,University of Virginia-Main Campus
uvmvermont,University of Vermont
UW,University of Washington-Seattle Campus
UWMadison,University of Wisconsin-Madison
WestVirginiaU,West Virginia University
UWyonews,University of Wyoming
