Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
Adirondack Park Agency,13GI1003,Maintenance & Improvement of Existing Facilities,Preservation of Facilities,Combined Expendable Trust,Miscellaneous Gifts Account,0055/01/10,Miscellaneous Gifts Account,500000,0,0
Adirondack Park Agency,13GI1103,Maintenance & Improvement of Existing Facilities,Preservation of Facilities,Combined Expendable Trust,Miscellaneous Gifts Account,0054/01/11,Miscellaneous Gifts Account,500000,0,0
Adirondack Park Agency,13GI1203,Maintenance & Improvement of Existing Facilities,Preservation of Facilities,Combined Expendable Trust,Miscellaneous Gifts Account,0054/01/12,Maintenance & Improvement,500000,0,0
"Agriculture and Markets, Department of",60010607,New Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0108/05/06,Food Laboratory,500000,64911,0
"Agriculture and Markets, Department of",60010809,New Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund,0053/05/08,Cornell Grape Genomics Research Facilit,3130000,0,0
"Agriculture and Markets, Department of",60020607,New Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0053/05/06,Cornell Equine Drug Testing Lab,198000,0,0
"Agriculture and Markets, Department of",60030607,New Facilities,New Facilities,Capital Projects Fund,Capital Projects Fund - Authority Bonds,0053/05/06,Fredonia Vineyard Lab,28000,0,0
"Agriculture and Markets, Department of",60MN0803,State Fair,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/08,Maintenance,5000,0,0
"Agriculture and Markets, Department of",60MN1103,State Fair,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,State Fair Capital,146000,0,0
"Agriculture and Markets, Department of",60MN1203,State Fair,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,State Fair Maintenance,9000,0,0
"Agriculture and Markets, Department of",60MN1303,State Fair,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,State Fair Maintenance,27000,0,0
"Agriculture and Markets, Department of",60MN1403,State Fair,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,State Fair Maintenance,376000,72030,0
"Agriculture and Markets, Department of",60MN1503,State Fair,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,State Fair Maintenance,0,0,1000000
"Agriculture and Markets, Department of",60NY1303,New York Works,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,New York Works Infrastructure,243000,22077,0
"Agriculture and Markets, Department of",60NY1403,New York Works,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,New York Works Infrastructure,1093000,258858,0
"Agriculture and Markets, Department of",60NY1503,New York Works,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,New York Works Infrastructure,0,487900,2500000
"Agriculture and Markets, Department of",60RI1103,State Fair,Preservation of Facilities,Miscellaeous Capital Projects Fund,Misc. Capital Projects,0054/01/11,Revenue Funds,2000000,0,0
"Agriculture and Markets, Department of",60RI1203,State Fair,Preservation of Facilities,Miscellaeous Capital Projects Fund,Misc. Capital Projects,0054/01/12,State Fair Capital,2000000,0,0
