"","year","rating","id","imdbid","title","titleId"
"1",1010,3,10556,"1794796","inazuma eleven: the movie","tt1794796"
"2",1874,0,9602,"3155794","Passage de Venus","tt3155794"
"3",1877,0,9804,"14495706","La Rosace Magique","tt14495706"
"4",1878,0,9603,"2221420","Sallie Gardner at a Gallop","tt2221420"
"5",1878,0,9806,"12592084","Le singe musicien","tt12592084"
"6",1881,0,9816,"7816420","Athlete Swinging a Pick","tt7816420"
"7",1883,0,9831,"5459794","Buffalo Running","tt5459794"
"8",1885,0,9832,"8588366","L&#39;homme machine","tt8588366"
"9",1887,0,9614,"2075247","Man Walking Around the Corner","tt2075247"
"10",1887,0,9836,"8133192","Cockatoo Flying","tt8133192"
"11",1887,0,9837,"7411790","Child Carrying Flowers to Woman","tt7411790"
"12",1887,0,9838,"7541160","Jumping Over a Man&#39;s Back-Leapfrog","tt7541160"
"13",1887,0,9841,"7754902","Man Riding Jumping Horse","tt7754902"
"14",1887,0,9902,"8361552","Baboon Climbing a Pole","tt8361552"
"15",1888,0,8040,"0392728","Roundhay Garden Scene","tt0392728"
"16",1888,0,9615,"1758563","Accordion Player","tt1758563"
"17",1888,0,9616,"0343112","Traffic Crossing Leeds Bridge","tt0343112"
"18",1888,0,9675,"3274100","Pferd und Reiter Springen uber ein Hindernis","tt3274100"
"19",1888,0,9947,"2116853","Brighton Street Scene","tt2116853"
"20",1889,0,9619,"0466876","Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses","tt0466876"
"21",1889,0,9945,"2116898","Hyde Park Corner","tt2116898"
"22",1890,0,9617,"0361921","Monkeyshines, No. 1","tt0361921"
"23",1890,0,9618,"0416046","Monkeyshines, No. 2","tt0416046"
"24",1890,0,9621,"1202028","London&#39;s Trafalgar Square","tt1202028"
"25",1890,0,9678,"0416047","Monkeyshines, No. 3","tt0416047"
"26",1890,0,9946,"5285442","Mosquinha","tt5285442"
"27",1890,0,9944,"2116968","Traffic in King&#39;s Road, Chelsea","tt2116968"
"28",1891,0,9626,"0241373","Dickson Greeting","tt0241373"
"29",1891,0,9628,"0241715","Men Boxing","tt0241715"
"30",1891,0,9629,"0241763","Newark Athlete","tt0241763"
"31",1891,0,9792,"0241393","Duncan and Another, Blacksmith Shop","tt0241393"
"32",1891,0,9793,"0241392","Duncan Smoking","tt0241392"
"33",1891,0,9794,"0241394","Duncan or Devonald with Muslin Cloud","tt0241394"
"34",1891,0,9795,"0241735","Monkey and Another, Boxing","tt0241735"
"35",1891,0,9800,"3201916","Je vous aime","tt3201916"
"36",1891,0,9802,"3508566","La vague","tt3508566"
"37",1891,0,9943,"5447082","Two Fencers","tt5447082"
"38",1892,0,5433,"0000003","Pauvre Pierrot","tt0000003"
"39",1892,0,9631,"0000004","Un bon bock","tt0000004"
"40",1892,0,9632,"0000002","Le clown et ses chiens","tt0000002"
"41",1892,0,9951,"0241446","Fencing","tt0241446"
"42",1892,0,9952,"0234520","Le prince de Galles","tt0234520"
"43",1892,0,9948,"0242148","Wrestling","tt0242148"
"44",1892,0,9986,"0241266","Boxing","tt0241266"
"45",1893,0,9583,"0000005","Blacksmith Scene","tt0000005"
"46",1894,0,9636,"0229217","Annabelle Butterfly Dance","tt0229217"
"47",1894,0,9642,"8419312","Edison Kinetoscope Records: Annie Oakley","tt8419312"
"48",1894,0,9646,"0000015","Autour d&#39;une cabine","tt0000015"
"49",1894,0,9648,"0229235","Barbershop, The","tt0229235"
"50",1894,0,9649,"0309396","Bucking Broncho","tt0309396"
"51",1894,0,9650,"0309402","Buffalo Dance","tt0309402"
"52",1894,0,9651,"0000001","Carmencita","tt0000001"
"53",1894,0,9652,"0000008","Edison Kinetoscopic Record of a Sneeze","tt0000008"
