"","title","rating","year","id","imdbid","titleId","averageRating","numVotes"
"1","inazuma eleven: the movie",3,1010,10556,"1794796","tt1794796",6.8,284
"2","Passage de Venus",0,1874,9602,"3155794","tt3155794",6.9,1729
"3","La Rosace Magique",0,1877,9804,"14495706","tt14495706",6,150
"4","Sallie Gardner at a Gallop",0,1878,9603,"2221420","tt2221420",7.4,3101
"5","Le singe musicien",0,1878,9806,"12592084","tt12592084",6.2,258
"6","Athlete Swinging a Pick",0,1881,9816,"7816420","tt7816420",5.2,466
"7","Buffalo Running",0,1883,9831,"5459794","tt5459794",6.3,1029
"8","L&#39;homme machine",0,1885,9832,"8588366","tt8588366",5.3,398
"9","Man Walking Around the Corner",0,1887,9614,"2075247","tt2075247",5.2,1411
"10","Cockatoo Flying",0,1887,9836,"8133192","tt8133192",5.3,207
"11","Child Carrying Flowers to Woman",0,1887,9837,"7411790","tt7411790",5.8,337
"12","Jumping Over a Man&#39;s Back-Leapfrog",0,1887,9838,"7541160","tt7541160",5.1,205
"13","Man Riding Jumping Horse",0,1887,9841,"7754902","tt7754902",5.3,154
"14","Baboon Climbing a Pole",0,1887,9902,"8361552","tt8361552",4.8,93
"15","Roundhay Garden Scene",0,1888,8040,"0392728","tt0392728",7.3,6258
"16","Accordion Player",0,1888,9615,"1758563","tt1758563",5.5,1338
"17","Traffic Crossing Leeds Bridge",0,1888,9616,"0343112","tt0343112",6.6,3128
"18","Pferd und Reiter Springen uber ein Hindernis",0,1888,9675,"3274100","tt3274100",5.8,378
"19","Brighton Street Scene",0,1888,9947,"2116853","tt2116853",5.5,140
"20","Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0,1889,9619,"0466876","tt0466876",5,439
"21","Hyde Park Corner",0,1889,9945,"2116898","tt2116898",5.2,269
"22","Monkeyshines, No. 1",0,1890,9617,"0361921","tt0361921",5,1512
"23","Monkeyshines, No. 2",0,1890,9618,"0416046","tt0416046",4.8,1111
"24","London&#39;s Trafalgar Square",0,1890,9621,"1202028","tt1202028",5.4,854
"25","Monkeyshines, No. 3",0,1890,9678,"0416047","tt0416047",4.2,427
"26","Mosquinha",0,1890,9946,"5285442","tt5285442",6.5,622
"27","Traffic in King&#39;s Road, Chelsea",0,1890,9944,"2116968","tt2116968",4.8,204
