"Combined","YearOfLaunch","Segment","Trim_Count","AVG_MSRP_CAD","MSRP_Range_CAD","StdDev_MSRP_CAD","Error.MSRP_CAD"
"2000 Acura EL",1999,NA,6,22048.3333333333,4000,1450.05747012547,591.983483253076
"2000 Acura Integra",1999,NA,6,26181.6666666667,9000,3311.59578853861,1351.95331937822
"2000 Acura TL",1999,NA,1,36015,0,NA,NA
"2000 Audi A4",1999,NA,8,38265,10500,3810.13685543484,1347.08680386338
"2000 Audi A6",1999,NA,11,56215,20800,5407.95710042156,1630.56041676697
"2000 Audi A8",1999,NA,1,86315,0,NA,NA
"2000 Audi S4",1999,NA,2,56015,0,0,0
"2000 Audi TT",1999,NA,1,49515,0,NA,NA
"2000 BMW 3 Series",1999,NA,10,44175,17000,5987.98797593983,1893.56806056714
"2000 BMW 5 Series",1999,NA,7,66286.4285714286,17700,8026.5630431533,3033.75567068077
"2000 BMW 7 Series",1999,NA,3,107148.333333333,48000,26633.3124739176,15376.7501262277
"2000 BMW M5",1999,NA,1,102615,0,NA,NA
"2000 BMW X5",1999,NA,1,68715,0,NA,NA
"2000 BMW Z3",1999,NA,6,54848.3333333333,16900,7356.81090328321,3003.40547453128
"2000 Buick Century",1999,NA,2,27065,2700,1909.18830920368,1350
"2000 Buick LeSabre",1999,NA,2,33415,5800,4101.21933088198,2900
"2000 Buick Park Avenue",1999,NA,2,45615,6400,4525.4833995939,3200
"2000 Buick Regal",1999,NA,2,30765,3100,2192.0310216783,1550
"2000 Cadillac Catera",1999,NA,1,42815,0,NA,NA
"2000 Cadillac DeVille",1999,NA,3,57615,8400,4849.74226119286,2800
"2000 Cadillac Eldorado",1999,NA,2,55665,3700,2616.29509039023,1850
"2000 Cadillac Escalade",1999,NA,1,63815,0,NA,NA
"2000 Cadillac Seville",1999,NA,2,62415,3800,2687.00576850888,1900
"2000 Chevrolet Astro Cargo Van",1999,NA,2,25615,3000,2121.32034355964,1500
"2000 Chevrolet Astro Passenger",1999,NA,6,29881.6666666667,10700,3808.76182855619,1554.92050529208
"2000 Chevrolet Blazer",1999,NA,18,34887.2222222222,14900,4548.01903296182,1071.97836639093
"2000 Chevrolet C 3500",1999,NA,2,34815,8000,5656.85424949238,4000
"2000 Chevrolet C/K 2500",1999,NA,72,33413.6111111111,14100,3156.5488845763,372.002853571789
"2000 Chevrolet C/K 3500",1999,NA,176,34283.1818181818,16900,3649.09524456352,275.060903420168
"2000 Chevrolet Camaro",1999,NA,8,32565,12200,4490.94326712902,1587.7882190555
"2000 Chevrolet Cavalier",1999,NA,10,20475,12300,4368.11680755499,1381.31981975372
"2000 Chevrolet Corvette",1999,NA,5,62575,11400,4822.13645597053,2156.524982466
"2000 Chevrolet Express",1999,NA,41,29775.9756097561,6100,1771.84621917091,276.715889536024
"2000 Chevrolet Express Cargo Van",1999,NA,18,29231.6666666667,8000,2361.76653724931,556.673711356152
"2000 Chevrolet Express Passenger",1999,NA,24,34877.5,11200,2929.43272442917,597.967950888553
"2000 Chevrolet Impala",1999,NA,3,27015,4700,2351.59520326097,1357.69412362775
"2000 Chevrolet Malibu",1999,NA,2,23465,2500,1767.76695296637,1250
"2000 Chevrolet Metro",1999,NA,6,11781.6666666667,1800,634.560215162176,259.058123036339
"2000 Chevrolet Monte Carlo",1999,NA,2,27565,2700,1909.18830920368,1350
"2000 Chevrolet S-10",1999,NA,32,20608.75,10300,2593.65696490745,458.498106989444
"2000 Chevrolet Silverado 1500",1999,NA,76,30446.5789473684,19300,4550.7863211044,522.010991772139
"2000 Chevrolet Silverado 2500",1999,NA,33,34357.4242424242,17100,4408.87105043842,767.485937871255
"2000 Chevrolet Silverado 3500",1999,NA,22,34815,7600,2195.66672811526,468.117719312353
"2000 Chevrolet Suburban",1999,NA,12,46023.3333333333,19700,6490.61677043146,1873.67966980765
"2000 Chevrolet Tahoe",1999,NA,13,42184.2307692308,18900,6667.63134046175,1849.26820645581
"2000 Chevrolet Tracker",1999,NA,5,21135,2600,1013.41008481266,453.210767744986
"2000 Chevrolet Venture",1999,NA,7,30343.5714285714,13000,4563.15471492924,1724.7103670878
"2000 Chevrolet Venture Cargo Van",1999,NA,1,25715,0,NA,NA
"2000 Chrysler 300M",1999,NA,1,39715,0,NA,NA
"2000 Chrysler Cirrus",1999,NA,2,23765,2700,1909.18830920368,1350
"2000 Chrysler Concorde",1999,NA,2,30515,4800,3394.11254969543,2400
"2000 Chrysler Intrepid",1999,NA,3,26515,1900,953.939201416946,550.75705472861
"2000 Chrysler LHS",1999,NA,1,41415,0,NA,NA
"2000 Chrysler Neon",1999,NA,2,18365,700,494.974746830583,350
"2000 Chrysler Sebring",1999,NA,4,30865,8700,3828.40262598733,1914.20131299366
"2000 Chrysler Town & Country",1999,NA,3,44448.3333333333,5600,2814.84161780611,1625.14956576652
"2000 Dodge Caravan",1999,NA,11,32233.1818181818,15200,5209.95550495744,1570.86068949004
"2000 Dodge Dakota",1999,NA,60,25725,13600,3209.71512543414,414.372440895882
"2000 Dodge Durango",1999,NA,2,38065,500,353.553390593274,250
"2000 Dodge Ram",1999,NA,72,32106.6666666667,14500,3917.77279356165,461.713951579267
"2000 Dodge Ram 1500",1999,NA,38,27362.3684210526,12800,3579.80347053082,580.720806358345
"2000 Dodge Ram 2500",1999,NA,42,35324.5238095238,14500,3820.53562352699,589.521445359725
"2000 Dodge Ram 3500",1999,NA,28,38054.2857142857,14500,3925.91949934584,741.92904732345
"2000 Dodge Ram Wagon",1999,NA,8,31502.5,4200,1447.59653021334,511.802661467986
"2000 Dodge Viper",1999,NA,2,106065,3700,2616.29509039023,1850
"2000 Ford E-150",1999,NA,6,32098.3333333333,5400,2164.64007785744,883.710611254864
"2000 Ford E-350",1999,NA,15,38535,11800,3634.20260462024,938.347077629188
"2000 Ford Econoline",1999,NA,54,30611.2962962963,15100,3826.61794430593,520.736744673746
"2000 Ford Escort ZX2",1999,NA,2,18665,1100,777.817459305202,550
"2000 Ford Excursion",1999,NA,4,54465,13300,5442.1196850737,2721.05984253685
"2000 Ford Expedition",1999,NA,3,44981.6666666667,10100,5589.57362715023,3227.14183829042
"2000 Ford Explorer",1999,NA,13,38330.3846153846,16000,5544.04277187778,1537.64080672083
"2000 Ford F-150",1999,NA,173,30295.9248554913,26800,4870.34634890312,370.285576077836
"2000 Ford Focus",1999,NA,10,17825,5900,1761.59649812953,557.065725226586
"2000 Ford Mustang",1999,NA,10,29835,20400,6535.84985547659,2066.81719881883
"2000 Ford Ranger",1999,NA,36,20928.8888888889,10700,2558.02968571826,426.338280953044
"2000 Ford Super",1999,NA,174,70285.6896551724,33100,9057.93189185394,686.680044608542
"2000 Ford Super Duty F-250",1999,NA,180,37321.6666666667,22400,4524.93525988442,337.268761162908
"2000 Ford Super Duty F-350",1999,NA,276,37789.6376811594,24100,4773.27501970107,287.317392629853
"2000 Ford Super Duty F-350 DRW",1999,NA,228,38531.6666666667,23800,5140.13175694046,340.413541582261
"2000 Ford Super Duty F-450",1999,NA,96,42123.3333333333,23000,5024.22901478251,512.783226545975
"2000 Ford Super Duty F-550",1999,NA,72,45515,21800,4818.56737519522,567.873611100801
"2000 Ford Super Duty F-650",1999,NA,42,64126.9047619048,19000,4390.35541541175,677.446548122245
"2000 Ford Super Duty F-750",1999,NA,108,76892.7777777778,31000,7632.43611154949,734.43150726262
"2000 Ford Taurus",1999,NA,12,27431.6666666667,5000,1365.03968196288,394.053013917896
"2000 Ford Windstar",1999,NA,3,33081.6666666667,15100,7617.30486020701,4397.85301153996
"2000 GMC Denali",1999,NA,1,58615,0,NA,NA
"2000 GMC Envoy",1999,NA,2,45965,500,353.553390593274,250
"2000 GMC Jimmy",1999,NA,14,33765,12600,4001.29786636594,1069.39183702649
"2000 GMC Safari Cargo Van",1999,NA,2,25615,3000,2121.32034355964,1500
"2000 GMC Safari Passenger",1999,NA,6,30248.3333333333,12300,4367.91330805302,1783.193140907
"2000 GMC Savana Cargo Van",1999,NA,17,29162.0588235294,8000,2415.3461571426,585.807489901686
"2000 GMC Savana Passenger",1999,NA,66,31665,13300,3349.22493904302,412.26109137197
"2000 GMC Sierra 1500",1999,NA,70,30470.7142857143,19400,4704.44241838593,562.288416942115
"2000 GMC Sierra 2500",1999,NA,33,34393.7878787879,17200,4436.54972753022,772.304177099351
"2000 GMC Sierra 2500 Classic",1999,NA,72,33413.6111111111,14100,3156.5488845763,372.002853571789
"2000 GMC Sierra 3500",1999,NA,120,33705.8333333333,16600,3370.40994023963,307.674925384814
"2000 GMC Sierra 3500 Classic",1999,NA,80,35308.75,16100,3547.80530305067,396.656691427777
"2000 GMC Sonoma",1999,NA,32,20608.75,10300,2593.65696490745,458.498106989444
"2000 GMC Yukon",1999,NA,12,41756.6666666667,18800,6421.7610630975,1853.8027392254
"2000 GMC Yukon XL",1999,NA,12,46281.6666666667,19500,6451.82614505851,1862.4817808071
"2000 Honda Accord",1999,NA,14,26357.8571428571,9300,2964.84901307464,792.389229317154
"2000 Honda Civic",1999,NA,25,17927,9100,2026.35140091742,405.270280183484
"2000 Honda CR-V",1999,NA,3,27015,2000,1000,577.350269189626
"2000 Honda Insight",1999,NA,1,26015,0,NA,NA
"2000 Honda Odyssey",1999,NA,2,32315,3000,2121.32034355964,1500
"2000 Honda Prelude",1999,NA,3,29581.6666666667,4000,2081.66599946613,1201.85042515466
"2000 Honda S2000",1999,NA,1,48015,0,NA,NA
"2000 Hyundai Accent",1999,NA,6,13481.6666666667,2700,1015.217546473,414.460827796521
"2000 Hyundai Elantra",1999,NA,6,16448.3333333333,3100,1087.50478926149,443.971971087265
"2000 Hyundai Sonata",1999,NA,2,23365,6700,4737.61543394987,3350
"2000 Hyundai Tiburon",1999,NA,4,20665,3300,1447.98710859823,723.993554299116
"2000 INFINITI G20",1999,NA,3,30281.6666666667,1100,635.085296108588,366.666666666667
