cntry,cntry_cd,id_type,id_type_lab,num_id,exhaust,min_id,law_yr,cmp_vt,cmp_enf,us_dum,reg_dev,reg_law,reg_lab,continent,cmp_id
Afghanistan,AFG,3,Photo ID,1,1,1,2016,0,0,0,0,3,Laissez Faire,3,1
Albania,ALB,3,Photo ID,2,1,1,2012,0,0,0,0,1,Automatic,4,1
Algeria,DZA,3,Photo ID,1.5,0,1,2012,0,0,0,0,3,Laissez Faire,1,1
Andorra,AND,3,Photo ID,1.5,0,1,2014,0,0,0,0,1,Automatic,4,0
Angola,AGO,2,Non Photo ID,1,1,1,2004,0,0,0,0,3,Laissez Faire,1,1
Anguilla,AIA,1,Basic Personal Details,0,1,0,2019,0,0,0,0,3,Laissez Faire,2,#N/A
Antigua and Barbuda,ATG,3,Photo ID,1,1,1,2001,0,0,0,0,3,Laissez Faire,2,0
Argentina,ARG,3,Photo ID,5,1,1,2012,1,1,0,0,1,Automatic,2,1
Armenia,ARM,3,Photo ID,3,1,1,2016,0,0,0,0,1,Automatic,3,1
Aruba,ABW,3,Photo ID,4,1,2,1987,0,0,0,0,1,Automatic,2,#N/A
Australia,AUS,1,Basic Personal Details,0,1,0,1918,1,1,0,0,2,Assisted,5,0
Austria,AUT,3,Photo ID,3,1,1,1992,0,0,0,0,1,Automatic,4,1
Azerbaijan,AZE,3,Photo ID,8,1,1,2003,0,0,0,0,1,Automatic,3,1
Bahamas,BHS,3,Photo ID,5,1,1,1992,0,0,0,0,3,Laissez Faire,2,1
Bahrain,BHR,3,Photo ID,5,1,2,2002,0,0,0,0,1,Automatic,3,1
Bangladesh,BGD,3,Photo ID,3.5,0,1,2009,0,0,0,0,3,Laissez Faire,3,1
Barbados,BRB,3,Photo ID,1,1,1,1987,0,0,0,0,3,Laissez Faire,2,1
Belarus,BLR,3,Photo ID,2.5,0,1,2000,0,0,0,0,1,Automatic,4,1
Belgium,BEL,3,Photo ID,1,1,1,2007,1,1,0,0,1,Automatic,4,1
Belize,BLZ,3,Photo ID,1,1,1,1997,0,0,0,0,3,Laissez Faire,2,0
Benin,BEN,3,Photo ID,1,1,1,2018,0,0,0,0,3,Laissez Faire,1,1
Bermuda,BMU,3,Photo ID,5,1,1,1978,0,0,0,0,3,Laissez Faire,2,#N/A
Bhutan,BTN,3,Photo ID,1,1,1,2008,0,0,0,0,1,Automatic,3,1
Bolivia,BOL,3,Photo ID,1,1,1,2010,1,1,0,0,3,Laissez Faire,2,1
Bosnia and Herzegovina,BIH,3,Photo ID,3,1,1,2001,0,0,0,0,1,Automatic,4,1
Botswana,BWA,3,Photo ID,2,1,2,2005,0,0,0,0,3,Laissez Faire,1,1
Brazil,BRA,3,Photo ID,6,1,2,2000,1,1,0,0,3,Laissez Faire,2,1
Bulgaria,BGR,3,Photo ID,5,1,1,2014,1,0,0,0,1,Automatic,4,1
Burkina Faso,BFA,3,Photo ID,3,1,1,2001,0,0,0,0,3,Laissez Faire,1,1
Burundi,BDI,3,Photo ID,2.5,0,2,2005,0,0,0,0,3,Laissez Faire,1,1
Cambodia,KHM,3,Photo ID,1,1,1,2015,0,0,0,0,3,Laissez Faire,3,1
Cameroon,CMR,3,Photo ID,2,1,2,2012,0,0,0,0,3,Laissez Faire,1,1
Canada,CAN,2,Non Photo ID,54,1,1,2000,0,0,0,0,1,Automatic,2,0
Cape Verde,CPV,3,Photo ID,1,1,1,2010,0,0,0,0,3,Laissez Faire,1,1
Cayman Islands,CYM,3,Photo ID,1,1,1,2004,0,0,0,0,3,Laissez Faire,2,#N/A
Central African Republic,CAF,3,Photo ID,1.5,0,1,2009,0,0,0,0,3,Laissez Faire,1,1
Chad,TCD,3,Photo ID,1,1,1,2009,0,0,0,0,3,Laissez Faire,1,1
Chile,CHL,3,Photo ID,2,1,1,2013,0,0,0,0,1,Automatic,2,1
Colombia,COL,3,Photo ID,1,1,1,1986,0,0,0,0,1,Automatic,2,1
Comoros,COM,3,Photo ID,3.5,0,1,2010,0,0,0,0,3,Laissez Faire,1,1
"Congo, Democratic Republic of",COD,3,Photo ID,1,1,1,2011,1,0,0,0,3,Laissez Faire,1,0
Cook Islands,COK,1,Basic Personal Details,0,1,0,2004,0,0,0,0,3,Laissez Faire,5,#N/A
Costa Rica,CRI,3,Photo ID,1,1,1,2009,1,0,0,0,1,Automatic,2,1
