County,Year,Homeless (Count),Population,Unemployment Rate,Median Inc,Incarceration (Rateper1000),Poverty (Count),Drug Arrests (Count),Relocated (Rate),Sub Abuse Enrollment (Count),Adult Pysch Beds (Count),Severe Housing Problems (Rate),Forcible Sex (Count),Foster Care (Count)
Alachua,2018,641,263753,3.3,49078,3.3,54072,1173,21.6753425616844,519,91,19.7,322,277
Alachua,2019,714,266649,3.1,49689,2.8,53601,1100,21.2497071958773,445,91,NA,315,263
Alachua,2020,657,270405,5.4,50089,2.4,52647,631,20.7966243692689,405,91,NA,275,323
Baker,2018,0,27488,3.4,61769,18.6,3664,204,12.4879404160074,103,0,10.4,14,33
Baker,2019,0,28089,3.3,63275,17.1,3017,225,11.7592051431911,65,0,NA,27,36
Baker,2020,0,28588,4.9,62299,17.5,2731,158,10.6083459024635,39,0,NA,16,58
Bay,2018,372,182218,4,51829,6.6,26376,3144,20.2896467856945,1089,72,16,122,339
Bay,2019,470,179900,3.9,54316,6.3,26221,3273,22.0927367020257,850,72,NA,122,353
Bay,2020,378,175776,6.1,56483,0.6,23110,2438,21.501683689088,579,72,NA,93,402
Bradford,2018,33,28083,3.3,46197,5.3,4743,198,9.81035601175259,102,0,16.5,10,17
Bradford,2019,4,28455,3.4,45921,6,5202,240,10.4883003536228,86,0,NA,20,30
Bradford,2020,0,28818,5.9,43580,5,4744,118,10.0624325574225,34,0,NA,11,30
Brevard,2018,734,584050,3.5,54359,3,72520,4498,13.4363553277021,5756,116,15.1,319,537
Brevard,2019,815,593372,3.4,56775,2.9,68456,3504,12.5468138403379,5654,116,NA,377,538
Brevard,2020,815,604154,6.6,59359,2.5,65692,2503,12.292116961324,3457,116,NA,339,695
Broward,2018,2318,1903210,3.4,57333,1.9,255214,8186,14.5076651988055,6272,466,24.2,755,1587
Broward,2019,2803,1927014,3.2,59547,2,249553,6021,14.1219736276108,4645,442,NA,791,1316
Broward,2020,2312,1946104,8.8,60922,1.5,244839,2668,13.3818862311668,3812,442,NA,673,1309
Calhoun,2018,0,15315,4.1,38609,5.2,1509,158,13.5769480753954,88,0,12.7,1,39
Calhoun,2019,2,14982,4.1,38568,3.6,1809,192,14.1224665804226,67,0,NA,0,32
Calhoun,2020,0,14894,5.2,38037,5,2001,167,11.9405226794833,38,0,NA,1,19
Charlotte,2018,164,175413,4,49225,4.1,19252,2196,12.1608260362457,840,52,15.4,45,241
Charlotte,2019,156,182298,3.9,51499,3.5,19623,814,11.1305337849105,568,52,NA,50,266
Charlotte,2020,169,185392,7.3,52724,3,19302,1230,10.8767861443927,247,52,NA,41,225
Citrus,2018,169,145164,5.2,41424,4.1,23437,722,13.4895981761186,456,0,13.5,31,198
Citrus,2019,262,147735,5.1,44237,4.4,22350,856,12.0831910777285,511,0,NA,45,230
Citrus,2020,171,149781,8.4,45689,4.4,21713,681,10.9490779430609,112,0,NA,42,263
Clay,2018,62,213565,3.3,62653,1.7,21831,1150,13.6827221496243,846,24,13.3,142,194
Clay,2019,74,217109,3.2,65740,2,21432,1067,13.1438184364014,778,24,NA,131,259
Clay,2020,74,219925,5.4,68657,2,20255,876,12.8212556591081,100,24,NA,161,293
Collier,2018,653,367471,3.4,65675,2.4,44308,1903,13.9156955701979,1095,105,19.9,192,196
Collier,2019,498,377700,3.3,69653,2,41243,1503,13.4225794312738,841,105,NA,210,231
Collier,2020,603,386478,6.9,70217,1.5,41222,1154,13.292065092523,297,105,NA,108,217
Columbia,2018,352,69566,3.7,44491,2.8,11115,598,14.2191464821223,203,0,14.5,48,155
Columbia,2019,316,70614,3.4,46494,3.6,10261,617,16.1676288474769,188,0,NA,38,153
Columbia,2020,312,70694,5.8,44818,3.2,9299,454,16.6696006806913,74,0,NA,35,168
Miami-Dade,2018,3516,2804160,3.5,48982,1.6,482656,13038,12.0561757748023,5900,778,29.8,1363,1695
Miami-Dade,2019,3472,2830500,2.6,51347,1.5,455005,9092,11.96247732946,4837,731,NA,1408,1446
Miami-Dade,2020,3472,2864600,8,53975,1.2,427130,3706,11.9592629456804,3775,731,NA,1137,1335
DeSoto,2018,104,35940,3.8,35057,3.6,9824,254,8.8922970079287,128,0,16.8,12,54
DeSoto,2019,104,35718,3.7,35438,4.3,9399,311,9.23085694737442,106,0,NA,32,57
DeSoto,2020,104,36388,5.2,36360,4,9200,225,9.26103376359844,44,0,NA,32,106
Dixie,2018,0,16767,4.2,38237,7.8,3398,97,13.1602112676056,121,0,12.4,10,51
Dixie,2019,0,16516,4,39828,8.2,3158,174,13.2895463752992,85,0,NA,14,38
Dixie,2020,0,16704,5.5,41674,8.1,2536,136,11.3966214608613,23,0,NA,10,23
Duval,2018,1640,954454,3.6,53473,3,139758,5846,19.1592392371197,2715,265,17.3,807,986
Duval,2019,1494,971842,3.5,55807,3.5,132346,6412,18.522259706749,2326,265,NA,791,1094
Duval,2020,1494,988783,6.7,56769,3.4,134680,5210,17.7523041536424,1393,265,NA,667,1241
Escambia,2018,598,317051,3.5,49286,5.4,40780,3239,16.6684258788914,1828,121,12.3,322,563
Escambia,2019,504,322901,3.4,50915,5.1,41439,2768,16.9995709742814,1502,121,NA,286,541
Escambia,2020,504,324620,6.7,53023,4.3,41878,1814,17.21243285733,3160,121,NA,325,590
Flagler,2018,62,108481,4,53872,2.1,12575,612,9.27009547274407,168,0,15.3,56,99
Flagler,2019,130,110636,4,54514,1.9,13488,572,8.51474182706997,133,0,NA,55,115
Flagler,2020,73,114053,7.6,57536,1.7,12295,431,8.31126540466187,10,0,NA,52,135
Franklin,2018,0,12360,3.5,42855,6.8,2091,160,15.1620773788777,76,0,14.3,3,7
Franklin,2019,0,12017,3.8,46643,6.8,1917,136,14.1273028900725,71,0,NA,1,14
