"","imdbID","Director","Metascore","imdbRating","imdbVotes","BoxOffice"
"1","tt2614684","Yann Demange","83",7.2,56942,"$1,270,847"
"2","tt0074080","Beverly Sebastian, Ferd Sebastian","N/A",5.4,1278,"N/A"
"3","tt0090556","Tom Moore","N/A",7.6,2371,"$441,863"
"4","tt1022603","Marc Webb","76",7.7,516486,"$32,391,374"
"5","tt1132193","Jonathan Parker","58",6.3,2230,"$230,600"
"6","tt0049189","Roger Vadim","N/A",6.3,8603,"N/A"
"7","tt1038988","Jaume Balagueró, Paco Plaza","71",7.4,181857,"N/A"
"8","tt1245112","Jaume Balagueró, Paco Plaza","52",6.5,74038,"$27,766"
"9","tt1649444","Paco Plaza","45",5,35911,"$9,600"
"10","tt0092086","John Landis","52",6.5,76878,"$39,246,734"
"11","tt2395385","Dennis Iliadis","60",5.5,8251,"N/A"
"12","tt1179933","Dan Trachtenberg","76",7.2,328879,"$72,082,998"
"13","tt3453052","Timothy Hines","N/A",6.1,2992,"$14,616"
"14","tt0066730","Richard Fleischer","N/A",7.5,9002,"N/A"
"15","tt0147800","Gil Junger","70",7.3,343927,"$38,178,166"
"16","tt0443649","Roland Emmerich","34",5.1,131813,"$94,784,201"
"17","tt0115433","Stephen Herek","49",5.7,112084,"$136,189,294"
"18","tt0211181","Kevin Lima","35",4.8,37847,"$66,957,026"
"19","tt2042432","Xiaoshuai Wang","71",7,720,"$9,213"
"20","tt0050083","Sidney Lumet","96",9,786180,"N/A"
"21","tt1846442","James Hayman","N/A",6.3,7096,"N/A"
"22","tt5143226","Matt Eskandari","N/A",5.3,17105,"N/A"
"23","tt2024544","Steve McQueen","96",8.1,700326,"$56,671,993"
"24","tt0809407","Corneliu Porumboiu","77",7.3,7715,"$91,881"
"25","tt1542344","Danny Boyle","82",7.6,378133,"$18,335,230"
"26","tt1436045","Takashi Miike","84",7.5,66058,"$802,778"
"27","tt0337563","Gary Winick","57",6.2,193932,"$57,231,747"
"28","tt4172430","Michael Bay","48",7.3,144000,"$52,853,219"
"29","tt0475169","Géla Babluani","61",7.3,17552,"$121,390"
"30","tt0450385","Mikael Håfström","64",6.8,275739,"$71,985,628"
"31","tt1646876","Peter DeLuise","N/A",5.4,14333,"N/A"
"32","tt0974661","Burr Steers","48",6.4,202695,"$64,167,069"
"33","tt1860152","Delphine Coulin, Muriel Coulin","61",6,3315,"$15,123"
"34","tt0068156","Peter H. Hunt","N/A",7.6,9736,"N/A"
"35","tt1671616","Jorge Coira","N/A",6.4,526,"N/A"
"36","tt1433802","Edoardo Leo","N/A",6.8,367,"N/A"
"37","tt1602472","Julie Delpy","61",6,14683,"$633,210"
"38","tt0841044","Julie Delpy","67",6.7,31444,"$4,433,994"
"39","tt0115438","John Herzfeld","56",6.5,20559,"$11,132,210"
"40","tt0322259","John Singleton","38",5.9,275289,"$127,154,901"
"41","tt1272878","Baltasar Kormákur","55",6.7,212744,"$75,612,460"
"42","tt2396566","Morgan Neville","83",7.4,13372,"$4,946,445"
"43","tt0046672","Richard Fleischer","83",7.2,34426,"N/A"
"44","tt0137338","Risa Bramon Garcia","33",NA,15622,"N/A"
"45","tt0062622","Stanley Kubrick","84",8.3,667754,"$60,481,243"
"46","tt0086837","Peter Hyams","53",6.7,53925,"$40,400,657"
"47","tt1190080","Roland Emmerich","49",5.8,378976,"$166,112,167"
"48","tt0212712","Kar-Wai Wong","78",7.4,58234,"$1,444,588"
