data_id;iso;event_id_cnty;event_id_no_cnty;event_date;year;time_precision;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;timestamp;iso3
8767155;616;POL3793;3793;31.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Augustowski;;Lipsk Murowany;53.7439;23.5308;2;Border Guard (Poland);National;On 31 December 2021, about 20 refugees attempted to cross the border from Belarus to Poland near Lipsk Murowany, damaging the wire fence. Polish police and military forces clashed with them and prevented them from crossing. [size=about 20];0;1641935012;POL
8767524;203;CZE477;477;31.12.2021;2021;1;Protests;Protest with intervention;Protesters (Czech Republic);;6;Police Forces of the Czech Republic (2021-);;1;16;Europe;Czech Republic;Prague;Praha;;Prague;50.0875;14.4213;1;Lidove Noviny;National;On 31 December 2021, activists gathered in Prague, protesting against coronavirus-related restrictions and mandatory vaccination. One activist was detained. [size=no report];0;1641935014;CZE
8767019;642;ROU1828;1828;30.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Olt;Slatina;;Slatina;44.4333;24.3667;1;Agerpres;National;On 30 December 2021, around 400 unionized workers from the Alro aluminium plant and several of its subcontractors protested in Slatina, demanding assistance from the government to save the industry and to cut on energy costs. [size=around 400];0;1641935012;ROM
8768140;616;POL3792;3792;30.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Hajnowski;;Czeremcha;52.515;23.3509;2;TVP;National;On 30 December 2021, about 14 refugees attempted to cross the border from Belarus to Poland near Czeremcha, damaging the wire fence. Polish police and military forces clashed with them and prevented them from crossing. [size=about 14];0;1641935017;POL
8973332;440;LTU219;219;30.12.2021;2021;1;Protests;Peaceful protest;Protesters (Lithuania);Lithuania Family Movement;6;;;0;60;Europe;Lithuania;Vilniaus;Vilniaus;;Vilnius;54.6869;25.2826;1;LRT - Lietuvos Radijo Ir Televizijos;National;On 30 December 2021, protesters organized by the Lithuania Family Movement set up a protest tent in front of the Lithuanian parliament in Vilnius to oppose the possibility for employers to require coronavirus vaccination certificates from their employees, or to undergo regular PCR tests at their expense. The protest was resumed after it had been suspended by local authorities on December 22. [size=no report];0;1648594141;LTU
8766964;616;POL3789;3789;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"NSZZ: Independent and Self-Governing Trade Union Solidarity; Labour Group (Poland)";6;;;0;60;Europe;Poland;Zachodniopomorskie;Szczecin;;Szczecin;53.4325;14.5486;1;24kurier;National;On 29 December 2021, members of the Solidarity movement gathered for a rally in Szczecin, demanding higher wages and other social benefits for employees of municipal services. [size=no report];0;1641935011;POL
8767010;642;ROU1823;1823;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Buzau;Buzau;;Buzau;45.15;26.8333;1;Agerpres;National;On 29 December 2021, OMV Petrom workers protested in Buzau, demanding the conclusion of a collective agreement for all of the company's employees. [size=no report];0;1641935011;ROM
8767011;642;ROU1824;1824;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Dolj;Craiova;;Craiova;44.3167;23.8;1;Agerpres;National;On 29 December 2021, OMV Petrom workers protested in Craiova, demanding the conclusion of a collective agreement for all of the company's employees. [size=no report];0;1641935011;ROM
8767012;642;ROU1826;1826;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Prahova;Ploiesti;;Ploiesti;44.95;26.0167;1;Agerpres;National;On 29 December 2021, OMV Petrom workers protested in Ploiesti, demanding the conclusion of a collective agreement for all of the company's employees. [size=no report];0;1641935011;ROM
8767014;642;ROU1822;1822;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Bucharest;Municipality of Bucharest;;Bucharest;44.4333;26.1;1;Agerpres;National;On 29 December 2021, Petrom workers protested outside Petrom City in Bucharest, demanding the conclusion of a collective agreement for all of the company's employees. [size=no report];0;1641935012;ROM
8767015;642;ROU1827;1827;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Bihor;Suplacu de Barcau;;Suplacu de Barcau;47.2564;22.5319;1;Agerpres;National;On 29 December 2021, OMV Petrom workers protested in Suplacu de Barcau, demanding the conclusion of a collective agreement for all of the company's employees. [size=no report];0;1641935012;ROM
