"","year","title","bechdel_rating","id","titleid"
"1",1010,"inazuma eleven: the movie",10556,3,"tt1794796"
"2",1874,"Passage de Venus",9602,0,"tt3155794"
"3",1877,"La Rosace Magique",9804,0,"tt14495706"
"4",1878,"Sallie Gardner at a Gallop",9603,0,"tt2221420"
"5",1878,"Le singe musicien",9806,0,"tt12592084"
"6",1881,"Athlete Swinging a Pick",9816,0,"tt7816420"
"7",1883,"Buffalo Running",9831,0,"tt5459794"
"8",1885,"L&#39;homme machine",9832,0,"tt8588366"
"9",1887,"Man Walking Around the Corner",9614,0,"tt2075247"
"10",1887,"Cockatoo Flying",9836,0,"tt8133192"
"11",1887,"Child Carrying Flowers to Woman",9837,0,"tt7411790"
"12",1887,"Jumping Over a Man&#39;s Back-Leapfrog",9838,0,"tt7541160"
"13",1887,"Man Riding Jumping Horse",9841,0,"tt7754902"
"14",1887,"Baboon Climbing a Pole",9902,0,"tt8361552"
"15",1888,"Roundhay Garden Scene",8040,0,"tt0392728"
"16",1888,"Accordion Player",9615,0,"tt1758563"
"17",1888,"Traffic Crossing Leeds Bridge",9616,0,"tt0343112"
"18",1888,"Pferd und Reiter Springen uber ein Hindernis",9675,0,"tt3274100"
"19",1888,"Brighton Street Scene",9947,0,"tt2116853"
"20",1889,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",9619,0,"tt0466876"
"21",1889,"Hyde Park Corner",9945,0,"tt2116898"
"22",1890,"Monkeyshines, No. 1",9617,0,"tt0361921"
"23",1890,"Monkeyshines, No. 2",9618,0,"tt0416046"
"24",1890,"London&#39;s Trafalgar Square",9621,0,"tt1202028"
"25",1890,"Monkeyshines, No. 3",9678,0,"tt0416047"
"26",1890,"Mosquinha",9946,0,"tt5285442"
"27",1890,"Traffic in King&#39;s Road, Chelsea",9944,0,"tt2116968"
"28",1891,"Dickson Greeting",9626,0,"tt0241373"
"29",1891,"Men Boxing",9628,0,"tt0241715"
"30",1891,"Newark Athlete",9629,0,"tt0241763"
"31",1891,"Duncan and Another, Blacksmith Shop",9792,0,"tt0241393"
"32",1891,"Duncan Smoking",9793,0,"tt0241392"
"33",1891,"Duncan or Devonald with Muslin Cloud",9794,0,"tt0241394"
"34",1891,"Monkey and Another, Boxing",9795,0,"tt0241735"
"35",1891,"Je vous aime",9800,0,"tt3201916"
"36",1891,"La vague",9802,0,"tt3508566"
"37",1891,"Two Fencers",9943,0,"tt5447082"
"38",1892,"Pauvre Pierrot",5433,0,"tt0000003"
"39",1892,"Un bon bock",9631,0,"tt0000004"
"40",1892,"Le clown et ses chiens",9632,0,"tt0000002"
"41",1892,"Fencing",9951,0,"tt0241446"
"42",1892,"Le prince de Galles",9952,0,"tt0234520"
"43",1892,"Wrestling",9948,0,"tt0242148"
"44",1892,"Boxing",9986,0,"tt0241266"
"45",1893,"Blacksmith Scene",9583,0,"tt0000005"
"46",1894,"Annabelle Butterfly Dance",9636,0,"tt0229217"
"47",1894,"Edison Kinetoscope Records: Annie Oakley",9642,0,"tt8419312"
"48",1894,"Autour d&#39;une cabine",9646,0,"tt0000015"
"49",1894,"Barbershop, The",9648,0,"tt0229235"
"50",1894,"Bucking Broncho",9649,0,"tt0309396"
"51",1894,"Buffalo Dance",9650,0,"tt0309402"
"52",1894,"Carmencita",9651,0,"tt0000001"
"53",1894,"Edison Kinetoscopic Record of a Sneeze",9652,0,"tt0000008"
"54",1894,"Dickson Experimental Sound Film",9654,0,"tt0177707"
"55",1894,"Chinese Opium Den",9655,0,"tt0000006"
"56",1894,"Corbett and Courtney Before the Kinetograph",9656,0,"tt0000007"
"57",1894,"Falling Cat",9662,0,"tt2049440"
"58",1894,"Glenroy Bros., No. 2",9663,0,"tt0312728"
"59",1894,"Glenroy Brothers",9664,0,"tt0256782"
"60",1894,"Leonard-Cushing Fight",9668,0,"tt0203646"
"61",1894,"Luis Martinetti, Contortionist",9671,0,"tt0277115"
"62",1894,"Sandow No. 2",9673,0,"tt2161519"
"63",1894,"Sandow No. 3",9674,0,"tt2161521"
"64",1894,"Reve au coin du feu",9681,0,"tt0413219"
"65",1894,"Miss Jerry",9779,0,"tt0000009"
"66",1895,"Tables Turned on the Gardener",5444,0,"tt0000014"
"67",1895,"Execution of Mary, Queen of Scots, The",6200,0,"tt0132134"
"68",1895,"Akrobatisches Potpourri",9679,1,"tt0000011"
"69",1895,"Annabelle Serpentine Dance",9683,0,"tt0154152"
"70",1895,"Italienischer Bauerntanz",9714,0,"tt0000017"
"71",1895,"Baby&#39;s Dinner",9715,1,"tt0000029"
"72",1895,"Billy Edwards and the Unknown",9766,0,"tt0477266"
"73",1895,"Blacksmith Scene",9767,0,"tt0000022"
"74",1895,"Barque sortant du port",9787,0,"tt0000016"
"75",1896,"House of the Devil, The",4982,0,"tt0000091"
"76",1896,"Une nuit terrible",5406,0,"tt0000131"
"77",1896,"La fee aux choux",5445,0,"tt0223341"
"78",1896,"Arrival of a Train, The",6199,0,"tt0000012"
"79",1896,"Sandow",9672,0,"tt1428455"
"80",1896,"Alger: rue Bab-Azoun",9949,0,"tt1672718"
"81",1896,"Lassage des boeufs pour le labour",9950,0,"tt1736599"
"82",1896,"Lancement d&#39;un navire",9901,0,"tt0222137"
"83",1897,"Bataille de neige",9328,0,"tt0000041"
"84",1898,"Four Heads Are Better Than One",4978,0,"tt0135696"
