"VIN","make","model","model_year","fuel_type","GVWR"
"wba6b2c57ed129731","BMW","650i","2014","Gasoline",""
"wba6b2c51ed129563","BMW","650i","2014","Gasoline",""
"2t2zk1ba7fc155782","LEXUS","RX","2015","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"3n1cn7ap7fl842707","NISSAN","Versa","2015","Gasoline",""
"wbaye8c59ed134514","BMW","750Li / ALPINA B7","2014","Gasoline",""
"wba6b2c53ed128866","BMW","650i","2014","Gasoline",""
"jn1cv6ek4dm921604","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap3dm726059","INFINITI","G37","2013","Gasoline",""
"jn1cv6apxdm714541","INFINITI","G37","2013","Gasoline",""
"jn1cv6ek8dm920763","INFINITI","G37","2013","Gasoline",""
"jn1cv6ek8dm900321","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap5dm714009","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap5dm713958","INFINITI","G37","2013","Gasoline",""
"jn8cs1mu2dm140046","INFINITI","FX37","2013","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jn1cv6ap4dm712848","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap1dm302069","INFINITI","G37","2013","Gasoline",""
"jn1cv6ek0dm900927","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap9dm712232","INFINITI","G37","2013","Gasoline",""
"jn1cv6ek0dm920093","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap0dm725418","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap2dm714887","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap2dm712055","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap5dm713801","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap2dm712170","INFINITI","G37","2013","Gasoline",""
"jn1cv6ek5dm900518","INFINITI","G37","2013","Gasoline",""
"jn1cv6apxdm712417","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap4dm303216","INFINITI","G37","2013","Gasoline",""
"jn1cv6apxdm713003","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap9dm300442","INFINITI","G37","2013","Gasoline",""
"jn1cv6apxdm712403","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap8dm717292","INFINITI","G37","2013","Gasoline",""
"jn1cv6apxdm715446","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap6dm714973","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap9dm719505","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap8dm711170","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap7dm710348","INFINITI","G37","2013","Gasoline",""
"jn1cv6ek3dm921383","INFINITI","G37","2013","Gasoline",""
"kmhdh6ae8du000216","HYUNDAI","Elantra","2013","Gasoline",""
"jn1cv6ekxdm920134","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap4dm301420","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap0dm711499","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap1dm712628","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap7dm300469","INFINITI","G37","2013","Gasoline",""
"jn1cv6apxdm712658","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap8dm716627","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap3dm713263","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap9dm715258","INFINITI","G37","2013","Gasoline",""
"jn1cv6ap1dm300757","INFINITI","G37","2013","Gasoline",""
